ObjectId,Year,Fund,Workgroup,Organization,Program,Program_Summary,Amount_Requested,Amount_Funded,Amount_Spent
523,2015,GF,HSF,Boulder Shelter for the Homeless,Boulder County Cares,,,15000,14572
187,2017,HEF,HEF,El Centro Amistad,Goals for Your Health,"Funding will be used to increase the number of Promotores, from two to twenty, to educate the Latino community about health equity, diabetes and healthy family activities, increase physical activity through school and summer programming, and advocate for health equity for Latino communities. Programs for Columbine, Whittier and University Hill elementary schools and Casey and Centennial middle schools.",150000,75000,68253
256,2018,GF,YOP,Pathways2Teaching-Aquetza-Critical Education Scholars,Youth and Community Social Justic Unconference,"Organizing a social justice ""unconference"" centered around the ideas and creative expressions of local youth",8350,0,0
614,2012,GF,MLK,Voices for MLK,Open Mic night,,500,500,483
1249,2005,GF,HSF,Clinica Campesina Family Health Care Services,"Newborns, Infants and Toddlers",,,59627,55403
1663,1995,GF,HSF,City of Boulder Children Youth and Families,Boulder County Prevention and Intervention,,,45193,44720
1227,2005,GF,HSF,Boulder County Public Health,Genesis,,,127427,114884
911,2008,GF,HSF,Boulder Shelter for the Homeless,Housing First,,,10000,9007
1046,2009,GF,YOP,Impact on Education,OWL at Manhattan Middle School,,14700,0,0
1492,2004,GF,HSF,Boulder Day Nursery,Toddler and Preschool Early Learning,,,24196,23820
804,2010,GF,YOP,Boulder Judo Training Center,Aim Higher,"Provide instructors, uniforms and other supplies for participants in sports-focused alternative community placement program for at-risk youth.",14750,7000,6679
1169,2009,GF,HSF,City of Boulder Children Youth and Families,Child Care Certificate Program,,,219757,207356
1026,2011,GF,HSF,"Boulder County RSVPBoard, Inc (dba BC CareConnect)",Safety Net,,,32368,32327
563,2014,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,45500,42157
521,2015,GF,YOP,I Have A Dream Foundation of Boulder County,Healthy Bodies & Healthy Minds,"Provide staff, transportation and supplies for middle school Dreamers participation in afterschool and summer sports programming.",15000,0,0
799,2015,GF,YOP,Boulder Judo Training Center,The Aim Higher Project,"Provide instructors, uniforms and other supplies for participants in sports-focused alternative community placement program for at-risk youth.",14871,14871,14610
295,2017,GF,HSF,Mental Health Partners,Behavioral Health Services,,0,350000,318784
840,2010,GF,YOP,September High School/YMCA of Boulder Valley,After Hours Arts/Break Through Arts,,15000,15000,14540
264,2017,GF,HSF,Attention Homes,Basic Needs for At-Risk Youth,"Food, drop-in day services, emergency shelter, case management, counseling and family mediation & behavioral treatment plans for homeless youth",0,40000,36645
1536,2001,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,23924,23630
1343,2002,GF,HSF,City of Boulder Children Youth and Families,Family Resource Schools,,,165233,154829
960,2008,GF,YOP,Boulder Museum of Contemporary Art,Engage & Reflect:  The Studio Project,,10000,0,0
742,2014,GF,CIF,Out Boulder County,Transgender and Gender Non-Conforming Employment Clinics,,10028,0,0
1936,1996,GF,HSF,Access Counseling (formerly The Counseling Center),Individual Counseling,,,12000,11278
196,2016,GF,CEF,Boulder Asian Pacific Alliance (BAPA),Annual Boulder Asian Festival,,1600,1600,1564
974,2008,GF,YOP,Boulder Parks and Recreation,Getting Fit Program,,5920,6098,5820
164,2017,GF,HRF,"First Congregational Church, et. al",Inaugural Black Future Month,,3000,0,0
1546,2007,GF,HSF,Medicine Horse Program,Medicine Horse Youth Program,,,12500,12274
1233,2005,GF,HSF,Boulder Valley School District,Boulder High: Adelante! After School Program,,,28524,26006
1809,1997,GF,HSF,Kellogg Child Development Center,Scholarship Program,,,30000,28219
140,2019,HEF,HEF,Clinica Campesina Family Health Care Services,Integrated Health Service Expansion and Enhancement,"Funding will provide direct health services, healthy living and healthy eating guidance, pharmacy services and health monitoring to low-income, at-risk city residents requiring primary health care or experiencing chronic diseases linked to sugar sweetened beverages.",279994,279994,254399
538,2013,GF,YOP,Second Wind Fund of Boulder County and Stories on Stage,Voices Out of Silence,In school assemblies and presentations that use professional actors to tell the stories of youth impacted by suicide and depression.,8071,0,0
795,2015,GF,MLK,Boulder Friends,n/a,,930,930,876
1574,2007,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,42771,39461
1367,2001,GF,HSF,Clinica Campesina Family Health Care Services,"Newborns, Infants and Toddlers",,,27717,27696
10,2019,GF,HSF,Boulder Day Nursery,Early Learning Program,"Child care & early learning activities, parent support & education, intervention & prevention, developmental & health screenings & social/emotional/behavioral supports",100000,75000,68923
573,2013,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,,11762,10974
1427,2005,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,6861,6696
393,2016,GF,HSF,Dental Aid,Safety Net Dental Services,Subsidized oral health care,140000,125000,115200
1539,2001,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,,,16311,16290
1496,2004,GF,HSF,Boulder Valley School District,Teen Parent Program,,,8275,7917
1173,2009,GF,HSF,Compass House,Counseling,,,12000,11984
648,2013,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,"Forensic interviews, family support & advocacy, crisis call intervention, school-based prevention ed., partner & community ed.",,25000,24912
17,2019,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,"Preschool with focus on English language learners & special needs children, parent education, referrals & resources",30000,30000,27534
1892,1995,GF,HSF,"Boulder County RSVPBoard, Inc (dba BC CareConnect)",Safety Net,,,9000,8553
946,2011,GF,HSF,Mental Health Partners,Psychiatric Emergency and Adult Services,,,180388,163689
1013,2008,GF,YOP,Boulder Valley Women's Health Center,Sexual Health and AIDS Awareness Peer Education (SHAPE) Program,,14862,0,0
1907,1997,GF,HSF,Boulder County Public Health,Genesis,,,102500,93505
900,2011,GF,HSF,Medicine Horse Program,Medicine Horse Youth Program,,,12500,12330
1534,2001,GF,HSF,Boulder American Indian Parent Committee,Drop Out Prevention and Cultural Events,,,18750,18655
1444,2004,GF,HSF,Attention Homes,Broadway Youth Shelter,,,15000,13991
474,2014,GF,YOP,Second Wind Fund of Boulder County and Stories on Stage,Voices Out of Silence,In school assemblies and presentations that use professional actors to tell the stories of youth impacted by suicide and depression.,5581,0,0
197,2016,GF,CEF,Boulder Jewish Festival,Boulder Jewish Festival,,1600,1600,1492
731,2015,GF,HSF,Foothills United Way (FHUW),Personal Investment Program (PIE),,,27935,26032
1658,1996,GF,HSF,City of Boulder Children Youth and Families,Boulder County Prevention and Intervention,,,45193,42559
1005,2008,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,60000,59255
1357,2001,GF,HSF,Clinica Campesina Family Health Care Services,Eldercare,,,14486,14374
1092,2009,GF,YOP,"Mountain Summers, Inc.",Scholarships for Youth With Promise,,15000,0,0
844,2010,GF,YOP,Youth Intermedia Educational Empowerment Foundation,True You,,15000,0,0
1856,1999,GF,HSF,Mental Health Partners,Family and Community Child Care,,,26204,24771
537,2013,GF,CEF,Bridge House,Homeless Persons' Memorial,,1500,1500,1358
488,2014,GF,YOP,Wildlands Restoration Volunteers,Youth Stewardship Program,"Support the Youth Steering Committee, High School Crew Leader Training and projects involving youth in outdoor stewardship and restoration.",14808,0,0
1206,2005,GF,HSF,Emergency Family Assistance Association,Shelter,,,51760,49832
1273,2002,GF,HSF,Clinica Campesina Family Health Care Services,"Pediatric, Adolescent and Teen Program",,,111151,109081
452,2015,GF,HSF,Acorn School for Early Childhood Development,Wilderness Center for Early Childhood Education,,,15000,14702
1635,1998,GF,HSF,Center for People with Disabilities (CPWD),Blind and Visually Impaired,,,2800,2640
802,2010,GF,YOP,Boulder High School,"Sí, se puede!",,7542,7768,7281
96,2018,GF,HSF,Bridge to Justice,Legal Support Services,Reduced rate legal services to low & moderate income individuals in family law,5000,0,0
935,2011,GF,HSF,Mental Health Partners,MESA Prevention Education,,,28426,27076
1058,2010,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,,11762,11215
666,2013,GF,HSF,Center for People with Disabilities (CPWD),Independent Living,,,18000,16623
679,2014,GF,YOP,Arts as Action,Young Artivists Performance Lab,Provide art workshops to youth residents at Attention Homes youth shelter.,3300,0,0
621,2012,GF,CEF,Boulder Jewish Festival,Boulder Jewish Festival,,1600,1600,1588
33,2019,GF,HSF,Foothills United Way (FHUW),Better Together: Disaster Preparedness and Resilience Classes,"Emergency preparedness classes and disaster resilience education to vulnerable populations throughout Boulder County to increase capacity, self-sufficiency, and the ability to access resources while under stress",30000,0,0
203,2016,GF,CEF,Out Boulder County,Boulder Pridefest,,1700,1600,1500
152,2019,HEF,HEF,FC Boulder,Diversity in Coaching,"Funding will be used to recruit and train Latino city residents as soccer coaches, who will recruit and host free soccer clinics in lower-income city neighborhoods, and recruit additional low-income Latinx soccer players.",74735,46000,43949
1713,1999,GF,HSF,Boulder County AIDS Project,HIV Care Services,"Comprehensive HIV medical case mgmt, testing & counseling, health insurance access, housing & food",,22550,22132
1804,1998,GF,HSF,Mental Health Partners,Psychiatric Emergency and Adult Services,,,131250,122268
1501,2004,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,16280,15707
456,2014,GF,HSF,BV Women's Health Center,Subsidized Reproduction and Sexual Health Services and Education,,,100000,90883
1349,2007,GF,YOP,YWCA,EDGE Empowerment Program Wired Girls Club,,5000,5000,4788
710,2014,GF,YOP,Boulder High School,"Sí, se puede!","Provide mentoring, college preparation and college application support for first generation college students.",9509,9509,9392
1864,1997,GF,HSF,Access Counseling (formerly The Counseling Center),Family Counseling,,,18700,16901
1434,2002,GF,HSF,Mental Health Partners,MESA Prevention Education,,,32557,31518
29,2019,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,Preschool & full-day child care,50000,50000,45074
1918,1997,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,5600,5416
148,2019,HEF,HEF,Emergency Family Assistance Association,Shelter and Basic Needs,"Funding will provide healthy food, nutrition counseling and other food access services to low-income city residents.",115477,115477,105732
1570,2001,GF,HSF,Boulder Valley School District,Teen Parent Program,,,18486,17433
1106,2009,GF,YOP,YWCA,The Puente (Bridge) Program,,15000,7000,6882
1180,2009,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,,11762,11312
1773,2000,GF,HSF,Mental Health Partners,Middle Schools Family Counseling,,,66512,64202
777,2013,GF,YOP,Attention Homes,Educational and Extracurricular Program Component,,15000,15000,14926
117,2019,HEF,HEF,Boulder County Area Agency on Aging,Programa de Salud,"Funding will provide culturally-appropriate health education, diabetes monitoring, medication management and personal coaching for monolingual, low-income, Latinx older adult city residents.",53503,0,0
1076,2010,GF,YOP,Boulder County Partners,Partners One-to-One,,15000,0,0
591,2012,GF,HSF,Emergency Family Assistance Association,Basic Needs,,,53750,48556
462,2014,GF,HSF,Children First of the Rockies,SAFE Services,,,5000,4917
611,2012,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,5000,4679
801,2010,GF,YOP,Boulder Dinner Theater Academy,Summer Camps-scholarships,,5200,0,0
1187,2009,GF,HSF,Mental Health Partners,Community Infant Program,,,67982,65411
1564,2007,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,,37168,35647
872,2010,GF,HSF,Boulder Shelter for the Homeless,Housing First,,,10000,9663
722,2014,GF,YOP,Boulder Philharmonic Orchestra,Symphony Schools: Boulder Phil Music Outreach and Education Program,Host opportunities for youth involved in school music education programs to learn from professional musicians.,15000,0,0
1759,2000,GF,HSF,Dental Aid,Children and Youth Oral Health,,,17758,16532
1215,2006,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Outreach and Increased Access,,,7865,7841
1410,2001,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Choices and Change,,,17857,17106
55,2019,HEF,HEF,YWCA,Children's Alley Healthy Services,"Funding will support child care services for young children from low-income city families, and the healthy eating and physical activity elements of the program",187750,142000,135748
1937,1996,GF,HSF,Attention Homes,Residential Homes,,,20000,18419
1461,2006,GF,HSF,City of Boulder Children Youth and Families,Boulder County Prevention and Intervention,,,120761,111385
1538,2003,GF,HSF,Boulder County Public Health,Genesis,,,134815,123071
1449,2006,GF,HSF,Boulder Pride,OASOS,,,21000,20169
726,2014,GF,YOP,Casey Middle School,Mexican Folklorico Dance Group,Provide an opportunity for middle school students to learn and perform traditional dances.,13863.91,0,0
157,2019,HEF,HEF,Go Flyers Club,GoFlyers Club!,Funding will provide financial assistance and scholarships to low-income city youth for participation in gymnastics programming and competitions.,30000,0,0
1149,2011,GF,YOP,Colorado Youth Program,Adventure Club,,15000,0,0
1563,2001,GF,HSF,Boulder Day Nursery,Toddler and Preschool Early Learning,,,23000,21376
110,2017,GF,YOP,Arapahoe Ridge High School,REAL,Support positive behavior and youth-adult relationships by funding staff support and supplies to implement a Positive Behavioral Intervention Support program.,7516,0,0
184,2017,HEF,HEF,Community Cycles,For Our Kids: Equal Access to Bikes,Funding will be used to collect and distribute 200 bicycles to low-income Boulder youth. Safety gear and safe bicycle handling courses will be provided along with healthy recipes for families at the distribution and safety events.,32770,32770,32572
657,2013,GF,HSF,Boulder Shelter for the Homeless,Housing First,,,12000,11401
223,2018,GF,HSF,Mother House,Mother House,"Short term housing, basic needs, support obtaining public benefits & resources, physical & mental health care for at-risk pregnant women",10000,10000,9390
1613,1999,GF,HSF,Women's Source,,,,22550,20768
9,2019,GF,HSF,Boulder County Public Health,Genesis,"Individualized parenting education, social/emotional & developmental screening for babies & case management",50000,30000,27777
94,2018,GF,HSF,Boulder Valley School District,Teen Parent Program,"Education and parenting classes, on-site nursery for teen parents",15000,0,0
976,2008,GF,HSF,BV Women's Health Center,Youth Program,,,35000,32534
1616,1998,GF,HSF,Access Counseling (formerly The Counseling Center),Individual Counseling,,,12500,11333
262,2017,GF,HRF,square product theatre,Community Conversations on Privilege,,3000,2000,1815
1382,2002,GF,HSF,Mental Health Partners,Circulo de la Vida Familiar,,,60413,59061
347,2017,GF,HRF,Bridge House,Homeless Persons' Memorial,,1500,1385,1289
1711,1999,GF,HSF,Attention Homes,Residential Homes,,,23650,22304
361,2016,GF,CoIH,Community Action Development Corporation,Creating Connections,,2904,2904,2710
238,2018,GF,IPD,Northern Colorado United National Indian Tribal Youth Council,Restoration and Preservation of Traditional Native Arts and Knowledge,,1500,0,0
1655,1998,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,54000,51036
879,2010,GF,HSF,Boulder Shelter for the Homeless,Winter Shelter & Transition Programs,,,62294,60445
1399,2001,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,83546,77695
160,2019,HEF,HEF,Growing Gardens,Healthy Eating for Teens and Families in Boulder,"Funding will be used to provide food shopping cards for Cultiva program participants, to support healthy food cooking skill-building among low-income city teens.",28650,0,0
1835,1999,GF,HSF,City of Boulder Children Youth and Families,Child Care Certificate Program,,,162190,160508
512,2014,GF,HSF,Family Learning Center,Pathways to Success for Youth Development,,,11762,11549
759,2014,GF,HSF,Boulder Shelter for the Homeless,Sheltering Programs,,,55000,52099
1671,1995,GF,HSF,Community Action Development Corporation,Parent Leadership Training,,,6000,5629
847,2009,GF,HSF,Access Counseling (formerly The Counseling Center),Safe Exchange Program,,,7216,6756
1819,1996,GF,HSF,Mental Health Partners,Family and Community Child Care,,,12385,11802
717,2013,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,38070,34434
1212,2006,GF,HSF,Parenting Place,Family Strengthening Program,,,8822,8585
353,2016,GF,CIF,Dental Aid,Community BBQ w/free dental screenings and cleanings (0-20 years old),,1500,1500,1423
652,2013,GF,HSF,"Boulder County RSVPBoard, Inc (dba BC CareConnect)",Safety Net,,,32045,31233
183,2018,GF,YOP,Out Boulder County,Out Youth Program,"Offer leadership development and community building through funding staff and supplies for art and activism, community events and bystander intervention workshops for lesbian, gay, bisexual, transgender, queer and allied youth.",9058,9058,8874
1683,1995,GF,HSF,Parenting Place,San Juan Home Visits,,,10054,9923
1783,1997,GF,HSF,Dental Aid,Adult Assured Access,,,10000,9622
739,2014,GF,CIF,Boulder Museum of Contemporary Art,Studio Project,,4200,1500,1470
56,2018,GF,CoIH,Barrio E,Meet Puerto Rico,,1500,1300,1278
477,2015,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for victims of DV with focus on services that help clients & children remain free of continued abuse.,,18000,16896
1228,2005,GF,HSF,"Boulder County RSVPBoard, Inc (dba BC CareConnect)",Safety Net,,,11762,11059
1047,2011,GF,HSF,Boulder Shelter for the Homeless,Winter Shelter & Transition Programs,,,62294,61000
681,2015,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,54000,50540
282,2017,GF,HSF,Children First of the Rockies,SAFE Services,,0,5000,4880
551,2015,GF,HSF,Bridge to Justice,Post Decree Services,,,5000,4721
267,2017,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",0,19000,18677
1416,2000,GF,HSF,Access Counseling (formerly The Counseling Center),Family Counseling,,,24076,23016
345,2017,GF,HRF,Boulder School for German Language and Culture,Advent Celebration and Craft Making,,280,350,329
120,2019,HEF,HEF,Boulder County Housing and Human Services,Child Care Assistance Program,Funding will provide direct child care subsidies for children ages 0 - 5 who are eligible for CCAP.,325000,325000,306384
598,2012,GF,HSF,Intercambio de Comunidades,El Grupo de Familias,,,11000,10117
1192,2009,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Domestic Violence Survivor Services Program,,,60000,56758
773,2013,GF,MLK,Peers Building Justice Program (PBJ),MESA,,1000,1000,942
832,2010,GF,YOP,New Vista High School,Ceramics Project,,4000,0,0
261,2017,GF,HRF,Second Baptist Church,Thanksgiving Dinner for Homeless Populations,,1935,2650,2400
685,2012,GF,CIF,Bridge House,Boulder Resource Center for Homeless Individuals,,10000,4000,3731
421,2016,GF,YOP,Boulder Museum of Contemporary Art,The Studio Project and Art Lounge Program,Engage and connect middle and high school youth with contemporary art and visiting artists through leadership development and youth events.,14196,0,0
557,2014,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,,42000,38145
982,2008,GF,HSF,City of Boulder Children Youth and Families,Child Care Certificate Program,,,219757,215222
789,2013,GF,YOP,Cal-Wood Education Center,Teen Adventure Program,"Support transportation, staff and supply costs for Latino middle and high school students to attend Calwood on BVSD days off to learn about outdoors, STEM fields and do community service.",10000,0,0
1375,2002,GF,HSF,Kids Connections (InterACT),TransACT Cultural Connections,,,7800,7111
1660,1995,GF,HSF,Center for People with Disabilities (CPWD),Independent Living,,,12000,11730
104,2017,GF,IPD,White Horse Creek Council,"IPD Mini Pow Wow, Teach In and Friendship Dance",,1500,1500,1499
644,2012,GF,CEF,Village Arts Coalition,International Festival,,1600,1600,1471
1350,2002,GF,HSF,Developmental Disabilities Center (dba Imagine!),Counseling Program,,,8000,7784
564,2015,GF,HSF,Center for People with Disabilities (CPWD),Core Services,,,40000,38284
861,2011,GF,HSF,Emergency Family Assistance Association,Basic Needs & Shelter Program,,,107500,101352
623,2015,GF,HSF,Clinica Campesina Family Health Care Services,Primary Health Care for Low-Income,,,300000,283415
283,2017,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,0,25000,24439
182,2017,GF,HRF,Motus Theater,Law Enforcement Leaders Read,,3000,2000,1944
1068,2010,GF,HSF,New Horizons Cooperative Preschool,Bilingual Education,,,42000,38467
1942,1996,GF,HSF,Boulder County Head Start,Woodlands Toddler Program,,,30827,29957
1102,2009,GF,YOP,Sals Amigos,SalsAmigos Dance Program Expansion:  Teacher-Training and Performance,,10260,0,0
1224,2005,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,"Forensic interviews, family support & advocacy, crisis call intervention, school-based prevention ed., partner & community ed.",,14703,14688
91,2018,GF,HSF,Boulder Food Rescue,Boulder Food Rescue,Food redistribution from grocery stores to community organizations that support low-income Boulder residents.,10000,0,0
754,2014,GF,HSF,Boulder Day Nursery,Early Learning Program,,,65000,62594
1477,2004,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Counseling and Advocacy Services,,,37167,33601
1904,1997,GF,HSF,Boulder County Legal Services,Boulder County Sexual Abuse Team,,,7500,6757
255,2018,GF,YOP,Mountain Flower Goat Dairy,Middle School Counselor in Training Program,"To provide staffing and supplies for a free, hands on and experiential Counselor in Training program for middle school students to participate in urban agriculture and build job skills.",10992,10992,9919
466,2014,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,22050,19958
880,2012,GF,YOP,Center for People with Disabilities (CPWD),Youth Leadership in Transition Program,,7375,0,0
934,2009,GF,HSF,Boulder Valley School District,Casey Middle: Community Learning Center,,,22000,21824
1659,2000,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,13130,12514
1486,2004,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,5000,4797
1159,2011,GF,YOP,Wildlands Restoration Volunteers,WRV Youth Stewardship Program,Support for their youth leadership  program.  Mostly personnel.,10640,10640,10365
761,2014,GF,HSF,Boulder Shelter for the Homeless,Boulder County Cares,,,15000,14601
459,2014,GF,YOP,Mountain Flower Goat Dairy,Hooves to Hands Entrepreneur Program,To provide the opportunity for entrepreneurship and increase employment skills for youth.,13483,0,0
909,2012,GF,YOP,New Vista High School,Natural Highs - Healthy Alternatives to Drugs  & Alcohol,"Provide education and safe space for youth to seek healthy alternatives to drugs and alcohol.  Support staffing and supplies for community-wide youth events, drop-in workshops and classes at New Vista High School.",14507,9180,8475
40,2019,GF,HSF,Intercambio de Comunidades,Conversation Team,A safe and supportive space to practice English and connect across cultures for both volunteers and English language learners,10000,0,0
1608,1995,GF,HSF,Center for People with Disabilities (CPWD),Blind and Visually Impaired,,,8000,7976
639,2013,GF,CoIH,Motus Theater,Do You know who I am?,,1500,1150,1103
1240,2005,GF,HSF,Center for People with Disabilities (CPWD),Home Care,,,19604,19295
891,2008,GF,HSF,Boulder County Public Health,Genesis,,,125000,124965
567,2013,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,56989,51953
574,2012,GF,HSF,Center for People with Disabilities (CPWD),Independent Living,,,18000,16613
908,2009,GF,HSF,Boulder Shelter for the Homeless,Winter Shelter & Transition Programs,,,62294,59410
888,2009,GF,YOP,Boulder Valley School District,Gateway Drug Peer Education Program,,14203,0,0
434,2015,GF,CEF,Boulder Asian Pacific Alliance (BAPA),Annual Boulder Asian Festival,,1700,1600,1543
221,2018,GF,HSF,Mental Health Partners,Behavioral Health Services,"Psychiatric rehabilitation, health & wellness coaching/ case management, peer support & outreach",380190,350000,332154
924,2010,GF,HSF,BV Women's Health Center,Youth Program,,,35000,33001
129,2019,HEF,HEF,Boulder Food Rescue,Community Based Participatory Research Project,"Funding will be used to publish and utilize a participatory research process to improve services and service evaluation, for organizations providing food to low-income city residents; and establish new, more inclusive avenues for client participation in food security programs.",40000,0,0
1928,1997,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Choices and Change,,,15000,14129
1654,1998,GF,HSF,Emergency Family Assistance Association,Basic Needs & Shelter Program,,,97650,90629
293,2017,GF,HSF,Immigrant Legal Center of Boulder County,Immigrant Legal Center of Boulder County,,0,23000,21959
1185,2009,GF,HSF,Mental Health Partners,"Child, Adolescent and Family Services",,,99213,90353
151,2019,HEF,HEF,FC Boulder,Diversity in Outreach Ambassador,"Funding will be used to hire a part-time bilingual program ambassador, to identify and lower barriers to soccer, and increase soccer participation among low-income, Latinx residents.",17775,17775,16205
1524,2001,GF,HSF,Access Counseling (formerly The Counseling Center),Family Counseling,,,24798,24240
883,2008,GF,HSF,Boulder County Legal Services,Critical Legal Services for Low-Income Residents,"Free safety net legal services for clients with legal emergencies that affect their basic needs, safety, and stability.",,18497,17385
1726,1996,GF,HSF,Clinica Campesina Family Health Care Services,Maternity Program,,,25000,24626
808,2010,GF,YOP,Boulder Parks and Recreation,Getting Fit Program,,8480,8480,8349
1950,1996,GF,HSF,Boulder Day Nursery,Toddler and Preschool Early Learning,,,20000,19548
1906,1997,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for victims of DV with focus on services that help clients & children remain free of continued abuse.,,11800,11047
1286,2004,GF,HSF,Emergency Family Assistance Association,Shelter,,,49386,45905
1792,1996,GF,HSF,Developmental Disabilities Center (dba Imagine!),Counseling Program,,,8900,8551
1307,2003,GF,HSF,Mental Health Partners,MESA Prevention Education,,,32557,31564
1117,2011,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,22050,21551
291,2017,GF,HSF,Foothills United Way (FHUW),Personal Investment Program (PIE),,0,35000,33253
897,2012,GF,YOP,Moving to End Sexual Assault (MESA),Peers Building Justice Program (PBJ),"Art-based youth program to create social change in the youth community, includes training on sexual violence.",10000,0,0
814,2010,GF,YOP,Boulder Youth Football,Boulder Youth Football Outreach Program,,15000,7500,7494
1121,2011,GF,HSF,Clinica Campesina Family Health Care Services,Primary Health Care for Low-Income,,,350000,315174
1226,2005,GF,HSF,Boulder County Legal Services,Legal Services for Domestic Violence Victims,Free legal services for victims of DV with focus on services that help clients & children remain free of continued abuse.,,13271,11978
1912,1997,GF,HSF,Boulder Valley School District,Casey Middle: Centro de Aprendizaje,,,25000,24279
503,2013,GF,CEF,Barrio E,Cultura Viva,,1600,1600,1585
1394,2001,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,51500,50332
1293,2004,GF,HSF,Family Learning Center,Pathways to Success for School Readiness,,,46504,42000
343,2017,GF,HRF,Boulder Jewish Festival,Boulder Jewish Festival,,3000,1000,995
610,2012,GF,HSF,Veterans Helping Veterans Now,Outreach and Support,,,10000,9086
1241,2005,GF,HSF,Children's House Preschool,First Chance Scholarship Fund,,,21408,20192
1666,1995,GF,HSF,Clinica Campesina Family Health Care Services,Adult Program,,,139629,129554
388,2016,GF,HSF,Children First of the Rockies,SAFE Services,Supervised exchanges and visits between custodial and non-custodial parents for court-ordered families,10000,5000,4652
907,2008,GF,HSF,Voices for Children,Court Appointed Special Advocates (CASA),,,5000,4657
446,2015,GF,CIF,Out Boulder County,Transgender Programming Project,,8425,6000,5925
1481,2002,GF,HSF,Safehouse Progressive Alliance for Nonviolence,Choices and Change,,,18393,18326
294,2017,GF,HSF,Intercambio de Comunidades,Uniting Communities,,0,20000,18287
218,2018,GF,HSF,I Have A Dream Foundation of Boulder County,Dream Big - Oak Dreamers,"Tutoring & mentoring, summer enrichment, family outreach, cultural & social enrichment, college & career preparation",50000,46188,43657
822,2010,GF,YOP,"Frequent Flyers Productions, Inc.",Kids Who Fly,,5620,0,0
1470,2006,GF,HSF,Emergency Family Assistance Association,Shelter,,,51760,48146
547,2014,GF,HSF,Mental Health Partners,Behavioral Health Services,,,350000,320525
775,2013,GF,YOP,Attention Homes,Educational and Extracurricular Program Component,,15000,15450,14821
1952,1996,GF,HSF,Boulder Valley School District,Casey Middle: Centro de Aprendizaje,,,25000,23277
427,2016,GF,YOP,Growing Gardens,Cultiva Youth Project,"Provide stipends to involve diverse teenagers in organic gardening as a means to teach sustainable agriculture, leadership, entrepreneurial and life skills.",9500,8500,7845
1770,2000,GF,HSF,Mental Health Partners,Community Infant Program,,,57010,55006
1168,2009,GF,HSF,City of Boulder Children Youth and Families,Boulder County Prevention and Intervention,,,120761,115405
680,2013,GF,HSF,Mental Health Partners,MESA Prevention Education,,,28426,25678
498,2015,GF,HSF,Boulder Shelter for the Homeless,Transitional Housing,,,10000,9797
1310,2003,GF,HSF,Parenting Place,Family Strengthening Program,,,9000,8198
1790,1997,GF,HSF,Dental Aid,Preschool Virtual Dental Home,,,5000,4916
1901,1997,GF,HSF,Boulder County Child & Family Advocacy Program (dba Blue Sky Bridge),Child and Family Advocacy Program,,,20000,19312
